time	type	subtype	content
421.457	variable	print	{"n_trials": 36, "n_rewards": 20, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5626028, "threshold_crossed": false}
421.957	state		reward_right
422.022	state		reward_consumption
425.216	event	sync	rsync
426.963	event	input	poke_6_out
427.963	event	timer	consumption_timer
427.963	state		inter_trial_interval
428.507	event	input	poke_5
428.587	event	input	poke_5_out
429.412	state		initiation_state
429.598	event	input	poke_5
429.599	state		choice_state
429.722	event	input	poke_5_out
430.383	event	input	poke_6
430.384	state		chose_right
