time	type	subtype	content
206.630	variable	print	{"n_trials": 20, "n_rewards": 8, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5555841, "threshold_crossed": false}
207.131	state		reward_left
207.202	state		reward_consumption
212.148	event	input	poke_4_out
212.176	event	input	poke_4
212.357	event	input	poke_4_out
212.617	event	sync	rsync
213.357	event	timer	consumption_timer
213.357	state		inter_trial_interval
213.560	event	input	poke_4
213.621	event	input	poke_4_out
214.212	event	sync	rsync
214.456	event	input	poke_4
214.670	event	input	poke_4_out
215.813	state		initiation_state
216.238	event	input	poke_4
217.278	event	input	poke_4_out
217.870	event	input	poke_4
218.977	event	input	poke_4_out
219.776	event	input	poke_4
220.514	event	input	poke_4_out
220.991	event	input	poke_5
220.993	state		choice_state
221.030	event	input	poke_5_out
221.339	event	input	poke_4
221.340	state		chose_left
221.341	variable	print	{"n_trials": 21, "n_rewards": 9, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6078044, "threshold_crossed": false}
221.842	state		reward_left
221.913	state		reward_consumption
223.036	event	sync	rsync
224.605	event	input	poke_4_out
224.617	event	input	poke_4
226.634	event	sync	rsync
232.755	event	input	poke_4_out
232.795	event	input	poke_4
232.876	event	input	poke_4_out
233.877	event	timer	consumption_timer
233.877	state		inter_trial_interval
235.399	event	sync	rsync
236.390	state		initiation_state
236.925	event	sync	rsync
237.020	event	input	poke_5
237.021	state		choice_state
237.086	event	input	poke_5_out
237.376	event	input	poke_4
237.377	state		chose_left
237.378	variable	print	{"n_trials": 22, "n_rewards": 10, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6538887, "threshold_crossed": false}
237.879	state		reward_left
237.950	state		reward_consumption
239.445	event	sync	rsync
244.075	event	sync	rsync
244.444	event	input	poke_4_out
245.444	event	timer	consumption_timer
245.444	state		inter_trial_interval
247.482	event	input	poke_5
247.586	event	input	poke_5_out
247.861	state		initiation_state
248.136	event	input	poke_4
249.372	event	input	poke_4_out
249.691	event	input	poke_5
249.692	state		choice_state
249.724	event	input	poke_5_out
250.034	event	input	poke_4
250.035	state		chose_left
250.036	variable	print	{"n_trials": 23, "n_rewards": 11, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6945578, "threshold_crossed": false}
250.066	event	sync	rsync
250.537	state		reward_left
250.608	state		reward_consumption
257.536	event	sync	rsync
260.080	event	input	poke_4_out
261.080	event	timer	consumption_timer
261.080	state		inter_trial_interval
263.528	state		initiation_state
265.766	event	input	poke_4
266.250	event	sync	rsync
266.595	event	input	poke_4_out
267.957	event	sync	rsync
269.525	event	sync	rsync
269.900	event	input	poke_5
269.901	state		forced_choice_left
270.000	event	input	poke_5_out
270.252	event	input	poke_4
270.253	state		chose_left
270.254	variable	print	{"n_trials": 24, "n_rewards": 12, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6945578, "threshold_crossed": false}
